name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
3309,"-69.515183900125,-22.35192098385","-69.5152050877,-22.3519122678","-69.5152050873,-22.3519297007","-69.5151627126,-22.3519296999","-69.5151627129,-22.351912267",179.99893611943077,0.004357834080908904
3310,"-69.51518389975,-22.3519384167","-69.5152050873,-22.3519297007","-69.5152050869,-22.3519471335","-69.5151627122,-22.3519471327","-69.5151627126,-22.3519296999",179.99878411309578,0.004357828393597309
3311,"-69.515183899375,-22.351955849550002","-69.5152050869,-22.3519471335","-69.5152050866,-22.3519645664","-69.5151627118,-22.3519645656","-69.5151627122,-22.3519471327",179.9989361003607,0.004357832990502457
3312,"-69.515183899,-22.3519732824","-69.5152050866,-22.3519645664","-69.5152050862,-22.3519819992","-69.5151627114,-22.3519819984","-69.5151627118,-22.3519645656",179.99878411340012,0.004357837587406558
3313,"-69.51518389860001,-22.351990715249997","-69.5152050862,-22.3519819992","-69.5152050858,-22.3519994321","-69.515162711,-22.3519994313","-69.5151627114,-22.3519819984",179.99878412052692,0.004357837042202004
3314,"-69.51518389825,-22.35200814815","-69.5152050858,-22.3519994321","-69.5152050855,-22.352016865","-69.5151627107,-22.3520168642","-69.515162711,-22.3519994313",179.99908808084132,0.004357836496995483
3315,"-69.5151838979,-22.352025581","-69.5152050855,-22.352016865","-69.5152050851,-22.3520342978","-69.5151627103,-22.352034297","-69.5151627107,-22.3520168642",179.9987841331925,0.004357835951790123
3316,"-69.5151838975,-22.35204301385","-69.5152050851,-22.3520342978","-69.5152050847,-22.3520517307","-69.5151627099,-22.3520517299","-69.5151627103,-22.352034297",179.99878410164757,0.004357835406584359
3317,"-69.5151838971,-22.3520604467","-69.5152050847,-22.3520517307","-69.5152050843,-22.3520691635","-69.5151627095,-22.3520691627","-69.5151627099,-22.3520517299",179.99878411416057,0.0043578348613781915
3318,"-69.51518389675002,-22.352077879550002","-69.5152050843,-22.3520691635","-69.515205084,-22.3520865964","-69.5151627092,-22.3520865956","-69.5151627095,-22.3520691627",179.99908808129743,0.0043578343161716215
3319,"-69.5151838964,-22.35209531245","-69.515205084,-22.3520865964","-69.5152050836,-22.3521040293","-69.5151627088,-22.3521040285","-69.5151627092,-22.3520865956",179.99878412143994,0.004357833770232361
3320,"-69.515183896,-22.352112745300005","-69.5152050836,-22.3521040293","-69.5152050832,-22.3521214621","-69.5151627084,-22.3521214613","-69.5151627088,-22.3521040285",179.99878411461685,0.004357833225024983
