name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
45,"-69.5006579873,-22.333697688975","-69.5006681152,-22.3336785838","-69.5006681493,-22.3336881206","-69.5006478594,-22.3337167942","-69.5006478253,-22.3337072573",180.18949843473206,0.0038106062310357103
46,"-69.500574259575,-22.33287776985","-69.5005843874,-22.3328586647","-69.5005844215,-22.3328682015","-69.5005641317,-22.332896875","-69.5005640977,-22.3328873382",180.1892227289049,0.003810599848671519
47,"-69.5005743957,-22.332915917250002","-69.5005845236,-22.3328968121","-69.5005845576,-22.3329063489","-69.5005642678,-22.3329350224","-69.5005642338,-22.3329254856",180.18894486369584,0.0038106023531239595
48,"-69.5005745318,-22.332954064625","-69.5005846597,-22.3329349594","-69.5005846937,-22.3329444963","-69.5005644039,-22.3329731698","-69.5005643699,-22.332963633",180.18894382142793,0.0038106066921488376
49,"-69.50057466795,-22.332992212","-69.5005847958,-22.3329731068","-69.5005848299,-22.3329826437","-69.5005645401,-22.3330113172","-69.500564506,-22.3330017803",180.18949847045616,0.0038106017277691378
50,"-69.5005748041,-22.3330303594","-69.500584932,-22.3330112542","-69.500584966,-22.3330207911","-69.5005646762,-22.3330494646","-69.5005646422,-22.3330399277",180.18894276283228,0.0038106014151734853
51,"-69.50057494020001,-22.333068506775003","-69.5005850681,-22.3330494016","-69.5005851021,-22.3330589384","-69.5005648123,-22.333087612","-69.5005647783,-22.3330780751",180.18894363104496,0.003810605754528796
52,"-69.50057507635,-22.333106654149997","-69.5005852042,-22.333087549","-69.5005852383,-22.3330970858","-69.5005649485,-22.3331257593","-69.5005649144,-22.3331162225",180.18950033728896,0.0038106007901465167
53,"-69.5005752125,-22.33314480155","-69.5005853404,-22.3331256964","-69.5005853744,-22.3331352332","-69.5005650846,-22.3331639067","-69.5005650506,-22.3331543699",180.18894455362624,0.0038106004775495237
54,"-69.50057534860001,-22.333182948925","-69.5005854765,-22.3331638437","-69.5005855105,-22.3331733806","-69.5005652207,-22.3332020541","-69.5005651867,-22.3331925173",180.1889434759783,0.0038106048169742474
55,"-69.500575484725,-22.3332210963","-69.5005856126,-22.3332019911","-69.5005856467,-22.333211528","-69.5005653568,-22.3332402015","-69.5005653228,-22.3332306646",180.18922031434525,0.0038106026690684293
56,"-69.500575620875,-22.333259243675","-69.5005857488,-22.3332401385","-69.5005857828,-22.3332496753","-69.500565493,-22.3332783489","-69.5005654589,-22.333268812",180.1892212176774,0.0038106070084224326
