name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
43,"-68.578233808,-24.0272209731","-68.5782551506,-24.0270239968","-68.5782538647,-24.0274180634","-68.5782124653,-24.0274179495","-68.5782137513,-24.0270238829",179.8292127066371,0.004204542092049363
44,"-68.5781177718,-24.0272206537","-68.5781391146,-24.0270236774","-68.5781378284,-24.027417744","-68.578096429,-24.02741763","-68.5780977153,-24.0270235633",179.82917117743,0.004204542152779562
45,"-68.5780017357,-24.0272203341","-68.5780230786,-24.0270233578","-68.578021792,-24.0274174244","-68.5779803926,-24.0274173104","-68.5779816794,-24.0270232438",179.8291126335778,0.004204537068382972
46,"-68.5778856995,-24.0272200144","-68.5779070427,-24.0270230381","-68.5779057557,-24.0274171047","-68.5778643563,-24.0274169907","-68.5778656434,-24.0270229241",179.8290665785349,0.004204542156922989
47,"-68.5777696633,-24.0272196947","-68.5777910067,-24.0270227184","-68.5777897194,-24.027416785","-68.57774832,-24.0274166709","-68.5777496074,-24.0270226043",179.8290257214873,0.004204542200921936
48,"-68.5776536272,-24.0272193748","-68.5776749707,-24.0270223986","-68.577673683,-24.0274164652","-68.5776322836,-24.027416351","-68.5776335714,-24.0270222845",179.8289723736032,0.004204542228168979
49,"-68.577537591,-24.0272190549","-68.5775589347,-24.0270220787","-68.5775576467,-24.0274161452","-68.5775162473,-24.0274160311","-68.5775175354,-24.0270219645",179.82893289741887,0.0042045422379135096
50,"-68.5774215549,-24.0272187349","-68.5774428988,-24.0270217587","-68.5774416104,-24.0274158252","-68.577400211,-24.027415711","-68.5774014995,-24.0270216445",179.8288795503742,0.004204542265888126
51,"-68.5773055188,-24.0272184148","-68.5773268628,-24.0270214386","-68.577325574,-24.0274155051","-68.5772841746,-24.0274153909","-68.5772854635,-24.0270213244",179.8288269151554,0.004204542276359796
52,"-68.5771894826,-24.0272180946","-68.5772108268,-24.0270211184","-68.5772095377,-24.027415185","-68.5771681383,-24.0274150707","-68.5771694275,-24.0270210041",179.8287861012165,0.004204542320432872
53,"-68.5770734465,-24.0272177743","-68.5770947908,-24.0270207981","-68.5770935014,-24.0274148647","-68.577052102,-24.0274147504","-68.5770533916,-24.0270206839",179.82874071287677,0.00420453723603035
54,"-68.5769574103,-24.0272174539","-68.5769787549,-24.0270204778","-68.5769774651,-24.0274145443","-68.5769360657,-24.02741443","-68.5769373556,-24.0270203635",179.82869394835876,0.0042045423413909315
55,"-68.5768413742,-24.0272171334","-68.5768627189,-24.0270201573","-68.5768614288,-24.0274142239","-68.5768200294,-24.0274141095","-68.5768213197,-24.027020043",179.82864722074044,0.004204537290606613
56,"-68.576725338,-24.0272168129","-68.576746683,-24.0270198368","-68.5767453925,-24.0274139034","-68.5767039931,-24.027413789","-68.5767052837,-24.0270197224",179.8286004984747,0.004204542395987387
57,"-68.5766093019,-24.0272164923","-68.576630647,-24.0270195162","-68.5766293561,-24.0274135827","-68.5765879568,-24.0274134683","-68.5765892477,-24.0270194018",179.82855439823973,0.004204537328410602
58,"-68.5764932658,-24.0272161715","-68.5765146111,-24.0270191955","-68.5765133198,-24.027413262","-68.5764719204,-24.0274131476","-68.5764732118,-24.0270190811",179.82849518501888,0.004204542416246122
59,"-68.5763772297,-24.0272158507","-68.5763985751,-24.0270188747","-68.5763972835,-24.0274129412","-68.5763558841,-24.0274128267","-68.5763571758,-24.0270187602",179.828454327209,0.004204542461120902
60,"-68.5780030371,-24.0268217515","-68.57802438,-24.0266247752","-68.5780230934,-24.0270188418","-68.5779816941,-24.0270187278","-68.5779829808,-24.0266246611",179.82911802004185,0.004204545046084062
61,"-68.5778870013,-24.0268214318","-68.5779083443,-24.0266244555","-68.5779070574,-24.0270185221","-68.5778656581,-24.0270184081","-68.5778669452,-24.0266243415",179.82907263158626,0.004204539961675998
62,"-68.5777709655,-24.0268211121","-68.5777923087,-24.0266241358","-68.5777910214,-24.0270182024","-68.5777496222,-24.0270180883","-68.5777509096,-24.0266240217",179.8290251943854,0.0042045349275931666
63,"-68.5776549297,-24.0268207922","-68.5776762731,-24.026623816","-68.5776749855,-24.0270178826","-68.5776335862,-24.0270177684","-68.577634874,-24.0266237018",179.82897775672302,0.004204540049706202
64,"-68.5775388939,-24.0268204723","-68.5775602375,-24.0266234961","-68.5775589495,-24.0270175627","-68.5775175502,-24.0270174485","-68.5775188383,-24.0266233819",179.82893170484408,0.004204545138268276
65,"-68.5774228581,-24.0268201523","-68.5774442019,-24.0266231761","-68.5774429135,-24.0270172427","-68.5774015142,-24.0270171285","-68.5774028027,-24.0266230619",179.82887906867944,0.004204545147293234
66,"-68.5773068223,-24.0268198322","-68.5773281663,-24.026622856","-68.5773268776,-24.0270169226","-68.5772854783,-24.0270168084","-68.5772867671,-24.0266227418",179.82883959222485,0.004204545159207968
67,"-68.5771907865,-24.026819512","-68.5772121306,-24.0266225358","-68.5772108416,-24.0270166024","-68.5771694423,-24.0270164881","-68.5771707315,-24.0266224216",179.82879282307636,0.004204540108385413
68,"-68.5770747507,-24.0268191917","-68.577096095,-24.0266222156","-68.5770948056,-24.0270162821","-68.5770534064,-24.0270161678","-68.5770546959,-24.0266221013",179.8287460530624,0.004204535057579513
