name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
56,"-70.79413348255,-33.093509331325","-70.7941531934,-33.093906769","-70.7941299293,-33.093907104","-70.7941137718,-33.0931118936","-70.7941370357,-33.0931115587",180.97523721630785,0.0021675232905745273
57,"-70.7940822846,-33.0935100684","-70.7941019952,-33.0939075061","-70.7940787311,-33.093907841","-70.7940625741,-33.0931126307","-70.794085838,-33.0931122958",180.97520702626372,0.0021675231762032
58,"-70.7940310866,-33.09351080545","-70.794050797,-33.0939082432","-70.7940275329,-33.0939085781","-70.7940113763,-33.0931133677","-70.7940346402,-33.0931130328",180.97518277216358,0.0021675231573813868
59,"-70.79397988865,-33.093511542449995","-70.7939995988,-33.0939089802","-70.7939763347,-33.0939093151","-70.7939601786,-33.0931141047","-70.7939834425,-33.0931137698",180.9751526090777,0.002167523139215843
60,"-70.793928690675,-33.093512279449996","-70.7939484006,-33.0939097172","-70.7939251365,-33.0939100521","-70.7939089808,-33.0931148417","-70.7939322448,-33.0931145068",180.97512546013544,0.0021675277796379695
61,"-70.7938774927,-33.093513016399996","-70.7938972024,-33.0939104542","-70.7938739383,-33.0939107891","-70.7938577831,-33.0931155786","-70.793881047,-33.0931152437",180.97509819152359,0.0021675231042096324
62,"-70.79382629475,-33.093513753349995","-70.7938460042,-33.0939111912","-70.7938227401,-33.093911526","-70.7938065854,-33.0931163155","-70.7938298493,-33.0931159807",180.97506785200764,0.0021675228943698966
63,"-70.793775096725,-33.093514490299995","-70.793794806,-33.0939119281","-70.7937715418,-33.093912263","-70.7937553876,-33.0931170525","-70.7937786515,-33.0931167176",180.97504087911776,0.0021675277244409706
64,"-70.793723898775,-33.0935152272","-70.7937436078,-33.093912665","-70.7937203436,-33.0939129999","-70.7937041899,-33.0931177894","-70.7937274538,-33.0931174545",180.97501071641523,0.002167527706271064
65,"-70.793672700775,-33.093515964074996","-70.7936924096,-33.0939134019","-70.7936691454,-33.0939137368","-70.7936529921,-33.0931185262","-70.793676256,-33.0931181914",180.9749864357817,0.002167527592608567
66,"-70.7936215028,-33.093516700950005","-70.7936412113,-33.0939141388","-70.7936179472,-33.0939144736","-70.7936017944,-33.0931192631","-70.7936250583,-33.0931189283",180.9749532316017,0.0021675228210557493
