name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
49,"-70.2998960194,-25.1279619168","-70.2999116105,-25.1277997775","-70.2999150396,-25.1281237524","-70.2998804283,-25.128124056","-70.2998769993,-25.1278000812",180.54908373592545,0.003484534351894891
50,"-70.300913206,-25.1261989978","-70.3009287956,-25.1260368585","-70.3009322272,-25.1263608333","-70.3008976164,-25.1263611371","-70.3008941849,-25.1260371623",180.54949075823166,0.0034845344596908835
51,"-70.3008338401,-25.1261996945","-70.3008494298,-25.1260375552","-70.3008528611,-25.12636153","-70.3008182504,-25.1263618338","-70.3008148191,-25.126037859",180.54945111002394,0.0034845294063206873
52,"-70.3007544741,-25.1262003911","-70.3007700639,-25.1260382518","-70.3007734951,-25.1263622266","-70.3007388843,-25.1263625304","-70.3007354533,-25.1260385556",180.5494193821973,0.0034845293864404652
53,"-70.3006751082,-25.1262010877","-70.3006906981,-25.1260389484","-70.300694129,-25.1263629232","-70.3006595183,-25.126363227","-70.3006560874,-25.1260392522",180.54938765432394,0.003484529366585023
54,"-70.3005950241,-25.1262017906","-70.3006106141,-25.1260396513","-70.3006140448,-25.1263636261","-70.300579434,-25.1263639299","-70.3005760034,-25.126039955",180.54934705928244,0.0034845343261481615
55,"-70.3005229609,-25.126901806","-70.300538551,-25.1267396668","-70.3005419817,-25.1270636416","-70.3005073707,-25.12706394530001","-70.3005039402,-25.1267399705",180.54933525338078,0.00348452940740524
56,"-70.3004415595,-25.1269025204","-70.3004571497,-25.1267403811","-70.3004605801,-25.1270643559","-70.3004259692,-25.1270646597","-70.3004225388,-25.1267406848",180.54930428993248,0.0034845294402160373
57,"-70.3002829304,-25.1269066638","-70.3002985209,-25.1267445245","-70.3003019509,-25.1270684994","-70.3002673399,-25.127068803","-70.30026391,-25.1267448282",180.54923119305244,0.003484534249180319
58,"-70.3003621931,-25.1269032168","-70.3003777834,-25.1267410776","-70.3003812136,-25.1270650524","-70.3003466027,-25.1270653561","-70.3003431725,-25.1267413813",180.54927180094205,0.003484529367177775
59,"-70.300203564,-25.1269073602","-70.3002191546,-25.12674522089999","-70.3002225844,-25.1270691957","-70.3001879734,-25.1270694994","-70.3001845437,-25.1267455246",180.54920039676796,0.003484534283198562
60,"-70.3005200063,-25.1262011324","-70.3005355964,-25.1260389931","-70.3005390269,-25.126362968","-70.3005044162,-25.1263632717","-70.3005009857,-25.1260392969",180.5493232764222,0.0034845293114217843
61,"-70.3004386053,-25.1262018468","-70.3004541956,-25.1260397075","-70.3004576259,-25.1263636823","-70.3004230151,-25.126363986","-70.3004195849,-25.1260400112",180.54928284734,0.003484534270660439
62,"-70.3002739331,-25.1262060432","-70.3002895236,-25.1260439039","-70.3002929534,-25.1263678787","-70.3002583427,-25.1263681824","-70.3002549129,-25.1260442076",180.5492114578131,0.0034845291174757003
63,"-70.3003592394,-25.1262025432","-70.3003748297,-25.1260404039","-70.3003782598,-25.1263643788","-70.300343649,-25.1263646825","-70.300340219,-25.1260407076",180.54925095254669,0.003484534250795897
64,"-70.3001945672,-25.1262067395","-70.3002101577,-25.1260446002","-70.3002135874,-25.1263685751","-70.3001789766,-25.1263688788","-70.300175547,-25.1260449039",180.54918748651647,0.003484534131118171
65,"-70.3001127497,-25.1262059287","-70.3001283404,-25.1260437895","-70.3001317698,-25.1263677643","-70.3000971591,-25.126368068","-70.3000937297,-25.1260440931",180.54914708070066,0.0034845290668692646
66,"-70.3000354188,-25.1262066071","-70.3000510096,-25.1260444679","-70.3000544388,-25.1263684428","-70.300019828,-25.1263687464","-70.3000163989,-25.1260447715",180.54910648267833,0.003484534027145502
