name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
136,"-69.527360054,-22.332089933250003","-69.5273812414,-22.3320812175","-69.5273812407,-22.3320986504","-69.5273388666,-22.332098649","-69.5273388673,-22.3320812161",179.99787189748986,0.004358387169673246
137,"-69.5273600533,-22.33210736615","-69.5273812407,-22.3320986504","-69.52738124,-22.3321160833","-69.5273388659,-22.3321160819","-69.5273388666,-22.332098649",179.9978719170948,0.004358386624936296
138,"-69.52736005265,-22.332124799","-69.52738124,-22.3321160833","-69.5273812394,-22.3321335161","-69.5273388653,-22.3321335147","-69.5273388659,-22.3321160819",179.99817589107568,0.004358386080931333
139,"-69.527360052,-22.33214223185","-69.5273812394,-22.3321335161","-69.5273812387,-22.332150949","-69.5273388646,-22.3321509476","-69.5273388653,-22.3321335147",179.99787191762624,0.004358385536925966
140,"-69.52736005135,-22.332159664749998","-69.5273812387,-22.332150949","-69.5273812381,-22.3321683819","-69.527338864,-22.3321683805","-69.5273388646,-22.3321509476",179.99817592133383,0.004358384992187804
141,"-69.5273600507,-22.332177097600002","-69.5273812381,-22.3321683819","-69.5273812374,-22.3321858147","-69.5273388633,-22.3321858133","-69.527338864,-22.3321683805",179.99787188661264,0.004358384446719974
142,"-69.52736005,-22.33219453045","-69.5273812374,-22.3321858147","-69.5273812367,-22.3322032476","-69.5273388626,-22.3322032462","-69.5273388633,-22.3321858133",179.9978718990859,0.00435838390125174
143,"-69.52736004935,-22.332211963349998","-69.5273812367,-22.3322032476","-69.5273812361,-22.3322206805","-69.527338862,-22.3322206791","-69.5273388626,-22.3322032462",179.9981759220181,0.004358383357243196
144,"-69.52736004869999,-22.33222939625","-69.5273812361,-22.3322206805","-69.5273812354,-22.3322381134","-69.5273388613,-22.332238112","-69.527338862,-22.3322206791",179.99787189961762,0.00435838281323425
145,"-69.52736004799999,-22.3322468291","-69.5273812354,-22.3322381134","-69.5273812347,-22.3322555462","-69.5273388606,-22.3322555448","-69.5273388613,-22.332238112",179.99787190701494,0.004358382268495633
146,"-69.52736004734999,-22.33226426195","-69.5273812347,-22.3322555462","-69.5273812341,-22.3322729791","-69.52733886,-22.3322729777","-69.5273388606,-22.3322555448",179.99817592270188,0.004358381723756613
147,"-69.5273600467,-22.33228169485","-69.5273812341,-22.3322729791","-69.5273812334,-22.332290412","-69.5273388593,-22.3322904106","-69.52733886,-22.3322729777",179.99787191975383,0.0043583811790156276
148,"-69.52736004605,-22.332299127699997","-69.5273812334,-22.332290412","-69.5273812328,-22.3323078448","-69.5273388587,-22.3323078434","-69.5273388593,-22.3322904106",179.99817589335566,0.004358380633544974
149,"-69.5273600454,-22.33231656055","-69.5273812328,-22.3323078448","-69.5273812321,-22.3323252777","-69.527338858,-22.3323252763","-69.5273388587,-22.3323078434",179.9978718816094,0.004358380088804743
150,"-69.5273600447,-22.33233399345","-69.5273812321,-22.3323252777","-69.5273812314,-22.3323427106","-69.5273388573,-22.3323427092","-69.527338858,-22.3323252763",179.99787192055243,0.004358379544793375
151,"-69.52736004405,-22.3323514263","-69.5273812314,-22.3323427106","-69.5273812308,-22.3323601434","-69.5273388567,-22.332360142","-69.5273388573,-22.3323427092",179.99817591337808,0.004358379000052339
152,"-69.5273600434,-22.33236885915","-69.5273812308,-22.3323601434","-69.5273812301,-22.3323775763","-69.527338856,-22.3323775749","-69.5273388567,-22.332360142",179.99787192108454,0.004358378455310898
153,"-69.52736036855,-22.331385830749998","-69.527381556,-22.331377115","-69.5273815553,-22.3313945479","-69.5273391811,-22.3313945465","-69.5273391818,-22.3313771136",179.9978719060859,0.004358419456609502
154,"-69.5273603679,-22.331403263600002","-69.5273815553,-22.3313945479","-69.5273815547,-22.3314119807","-69.5273391805,-22.3314119793","-69.5273391811,-22.3313945465",179.99817586230085,0.004358418912619956
155,"-69.52736036725,-22.33142069645","-69.5273815547,-22.3314119807","-69.527381554,-22.3314294136","-69.5273391798,-22.3314294122","-69.5273391805,-22.3314119793",179.99787192595613,0.004358418368630008
156,"-69.52736036655,-22.331438129349998","-69.527381554,-22.3314294136","-69.5273815533,-22.3314468465","-69.5273391791,-22.3314468451","-69.5273391798,-22.3314294122",179.99787188754544,0.00435841782390726
157,"-69.5273603659,-22.331455562200002","-69.5273815533,-22.3314468465","-69.5273815527,-22.3314642793","-69.5273391785,-22.3314642779","-69.5273391791,-22.3314468451",179.99817592100112,0.004358417279185672
158,"-69.52736036524999,-22.331472995049996","-69.5273815527,-22.3314642793","-69.527381552,-22.3314817122","-69.5273391778,-22.3314817108","-69.5273391785,-22.3314642779",179.9978718687383,0.004358416733732849
159,"-69.5273603646,-22.33149042795","-69.527381552,-22.3314817122","-69.5273815514,-22.3314991451","-69.5273391772,-22.3314991437","-69.5273391778,-22.3314817108",179.9981759125821,0.00435841618827806
160,"-69.52736036395001,-22.331507860800002","-69.5273815514,-22.3314991451","-69.5273815507,-22.3315165779","-69.5273391765,-22.3315165765","-69.5273391772,-22.3314991437",179.99787189574045,0.004358415643555262
161,"-69.52736036325,-22.331525293650003","-69.5273815507,-22.3315165779","-69.52738155,-22.3315340108","-69.5273391758,-22.3315340094","-69.5273391765,-22.3315165765",179.9978718695358,0.004358415099562891
162,"-69.5273603626,-22.33154272655","-69.52738155,-22.3315340108","-69.5273815494,-22.3315514437","-69.5273391752,-22.3315514423","-69.5273391758,-22.3315340094",179.9981759326048,0.004358414555568554
163,"-69.52736036195,-22.33156015945","-69.5273815494,-22.3315514437","-69.5273815487,-22.3315688766","-69.5273391745,-22.3315688752","-69.5273391752,-22.3315514423",179.9978718894065,0.0043584140108429825
164,"-69.52736036125,-22.3315775923","-69.5273815487,-22.3315688766","-69.527381548,-22.3315863094","-69.5273391738,-22.331586308","-69.5273391745,-22.3315688752",179.99787185812693,0.004358413465387739
165,"-69.5273603606,-22.33159502515","-69.527381548,-22.3315863094","-69.5273815474,-22.3316037423","-69.5273391732,-22.3316037409","-69.5273391738,-22.331586308",179.99817593328856,0.004358412919932091
166,"-69.52736035995,-22.331612458050003","-69.5273815474,-22.3316037423","-69.5273815467,-22.3316211752","-69.5273391725,-22.3316211738","-69.5273391732,-22.3316037409",179.9978718902052,0.00435841237520531
167,"-69.52736035929999,-22.3316298909","-69.5273815467,-22.3316211752","-69.5273815461,-22.331638608","-69.5273391719,-22.3316386066","-69.5273391725,-22.3316211738",179.99817590394196,0.004358411831210518
168,"-69.52736035865,-22.331647323749998","-69.5273815461,-22.331638608","-69.5273815454,-22.3316560409","-69.5273391712,-22.3316560395","-69.5273391719,-22.3316386066",179.99787189073675,0.004358411287215324
169,"-69.52736035795,-22.33166475665","-69.5273815454,-22.3316560409","-69.5273815447,-22.3316734738","-69.5273391705,-22.3316734724","-69.5273391712,-22.3316560395",179.99787189100232,0.004358410742487331
170,"-69.5273603573,-22.331682189499997","-69.5273815447,-22.3316734738","-69.5273815441,-22.3316909066","-69.5273391699,-22.3316909052","-69.5273391705,-22.3316734724",179.998175904626,0.004358410197029667
171,"-69.52736035665001,-22.33169962235","-69.5273815441,-22.3316909066","-69.5273815434,-22.3317083395","-69.5273391692,-22.3317083381","-69.5273391699,-22.3316909052",179.99787189153528,0.004358409651571599
172,"-69.52736036825,-22.33105113385","-69.5273815557,-22.3310424181","-69.527381555,-22.331059851","-69.5273391808,-22.3310598496","-69.5273391815,-22.3310424167",179.99787192031823,0.004358429916192352
173,"-69.52736036760001,-22.331068566699997","-69.527381555,-22.331059851","-69.5273815544,-22.3310772838","-69.5273391802,-22.3310772824","-69.5273391808,-22.3310598496",179.99817585792323,0.004358429370748887
174,"-69.52736036694999,-22.33108599955","-69.5273815544,-22.3310772838","-69.5273815537,-22.3310947167","-69.5273391795,-22.3310947153","-69.5273391802,-22.3310772824",179.99787190151142,0.00435842882530502
175,"-69.52736036625001,-22.33110343245","-69.5273815537,-22.3310947167","-69.527381553,-22.3311121496","-69.5273391788,-22.3311121482","-69.5273391795,-22.3310947153",179.99787190177716,0.004358428280590019
